#length, SI
50.25	45	15.24
49.75	45	15.24
50.75	45	15.24
49.25	45	15.24
51.25	45	15.24
48.75	45	15.24
48.344	44.708	15.24
51.75	45.001	15.24
47.88	44.521	15.24
47.88	44.521	15.24
47.399	44.387	15.24
47.399	44.387	15.24
46.905	44.309	15.24
52.25	45.003	15.24
51.75	45.001	15.24
46.406	44.277	15.24
45.906	44.282	15.24
52.75	45.005	15.24
45.407	44.309	15.24
53.25	45.007	15.24
52.75	45.005	15.24
44.908	44.347	15.24
53.75	45.008	15.24
53.25	45.007	15.24
44.41	44.386	15.24
53.569	45.474	15.24
53.931	44.542	15.24
43.911	44.418	15.24
53.387	45.94	15.24
53.569	45.474	15.24
53.931	44.542	15.24
54.137	44.087	15.24
53.206	46.406	15.24
53.387	45.94	15.24
54.377	43.648	15.24
53.025	46.872	15.24
53.206	46.406	15.24
54.67	43.243	15.24
52.843	47.338	15.24
53.025	46.872	15.24
55.026	42.892	15.24
52.609	47.78	15.24
52.843	47.338	15.24
55.44	42.612	15.24
52.307	48.178	15.24
52.609	47.78	15.24
55.897	42.409	15.24
51.939	48.517	15.24
51.516	48.783	15.24
51.939	48.517	15.24
51.055	48.977	15.24
56.379	42.277	15.24
50.571	49.104	15.24
51.055	48.977	15.24
56.476	42.767	15.24
56.283	41.786	15.24
50.076	49.172	15.24
50.571	49.104	15.24
43.911	44.418	15.24
43.411	44.439	15.24
49.577	49.196	15.24
50.076	49.172	15.24
56.573	43.258	15.24
56.67	43.748	15.24
56.767	44.239	15.24
57.115	44.598	15.24
57.44	44.978	15.24
57.115	44.598	15.24
57.794	45.331	15.24
58.197	45.626	15.24
57.794	45.331	15.24
58.646	45.847	15.24
59.095	46.068	15.24
58.646	45.847	15.24
59.543	46.289	15.24
59.095	46.068	15.24
59.992	46.509	15.24
59.543	46.289	15.24
49.077	49.188	15.24
56.014	41.364	15.24
60.44	46.73	15.24
59.992	46.509	15.24
55.693	40.982	15.24
60.912	46.896	15.24
60.44	46.73	15.24
55.308	40.662	15.24
54.872	40.418	15.24
54.872	40.418	15.24
54.4	40.251	15.24
53.91	40.152	15.24
61.402	46.995	15.24
60.912	46.896	15.24
53.412	40.108	15.24
61.9	47.038	15.24
62.079	47.505	15.24
61.721	46.571	15.24
52.912	40.104	15.24
52.682	40.548	15.24
53.142	39.66	15.24
52.45	40.99	15.24
52.682	40.548	15.24
53.142	39.66	15.24
53.325	39.194	15.24
52.217	41.433	15.24
52.45	40.99	15.24
53.325	39.194	15.24
53.568	38.757	15.24
51.985	41.876	15.24
52.217	41.433	15.24
53.568	38.757	15.24
53.887	38.373	15.24
51.753	42.319	15.24
51.985	41.876	15.24
53.887	38.373	15.24
54.274	38.055	15.24
51.52	42.761	15.24
51.753	42.319	15.24
54.274	38.055	15.24
54.711	37.813	15.24
51.236	43.173	15.24
54.711	37.813	15.24
55.182	37.644	15.24
50.888	43.532	15.24
51.236	43.173	15.24
50.482	43.824	15.24
50.888	43.532	15.24
50.036	44.049	15.24
55.671	37.541	15.24
49.566	44.219	15.24
50.036	44.049	15.24
55.671	37.541	15.24
56.168	37.489	15.24
56.331	37.962	15.24
56.006	37.016	15.24
56.493	38.435	15.24
56.331	37.962	15.24
55.843	36.543	15.24
56.655	38.907	15.24
55.843	36.543	15.24
55.599	36.107	15.24
56.818	39.38	15.24
55.599	36.107	15.24
55.277	35.724	15.24
57.028	39.834	15.24
55.277	35.724	15.24
54.888	35.41	15.24
57.31	40.247	15.24
54.449	35.172	15.24
57.661	40.603	15.24
58.064	40.9	15.24
57.661	40.603	15.24
54.449	35.172	15.24
53.976	35.009	15.24
58.508	41.129	15.24
58.064	40.9	15.24
58.985	41.279	15.24
58.508	41.129	15.24
53.976	35.009	15.24
53.485	34.911	15.24
59.479	41.359	15.24
53.485	34.911	15.24
52.987	34.867	15.24
59.978	41.386	15.24
60.478	41.378	15.24
60.439	41.877	15.24
60.517	40.88	15.24
60.4	42.375	15.24
60.439	41.877	15.24
60.694	40.412	15.24
60.361	42.874	15.24
60.4	42.375	15.24
60.903	39.958	15.24
60.648	39.527	15.24
60.321	43.372	15.24
60.361	42.874	15.24
60.282	43.871	15.24
60.321	43.372	15.24
60.23	44.368	15.24
60.156	44.862	15.24
60.23	44.368	15.24
60.05	45.351	15.24
60.156	44.862	15.24
59.895	45.826	15.24
59.684	46.28	15.24
52.987	34.867	15.24
52.488	34.859	15.24
51.988	34.874	15.24
43.411	44.439	15.24
42.911	44.447	15.24
48.577	49.163	15.24
51.988	34.874	15.24
51.488	34.901	15.24
42.911	44.447	15.24
42.411	44.445	15.24
48.078	49.131	15.24
50.989	34.928	15.24
42.411	44.445	15.24
41.911	44.435	15.24
50.49	34.951	15.24
50.458	35.45	15.24
50.49	34.951	15.24
50.521	34.452	15.24
50.297	35.923	15.24
50.684	33.979	15.24
51.103	34.25	15.24
50.264	33.707	15.24
50.1	36.383	15.24
50.368	36.805	15.24
50.1	36.383	15.24
41.411	44.421	15.24
47.579	49.102	15.24
48.078	49.131	15.24
40.912	44.407	15.24
40.412	44.395	15.24
47.08	49.081	15.24
47.579	49.102	15.24
39.912	44.387	15.24
40.038	44.871	15.24
39.785	43.903	15.24
46.58	49.071	15.24
46.08	49.071	15.24
46.58	49.071	15.24
45.58	49.079	15.24
45.71	49.562	15.24
45.449	48.596	15.24
45.84	50.045	15.24
45.243	48.141	15.24
45.971	50.527	15.24
44.989	47.71	15.24
45.02	47.211	15.24
46.101	51.01	15.24
45.02	47.211	15.24
45.051	46.712	15.24
